City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Quelimane,MZ,-17.8786,36.8883,80.55,94,75,4.61,broken clouds
163,Scarborough,GB,54.2797,-0.4044,39.52,77,46,8.99,scattered clouds
164,Lavrentiya,RU,65.5833,-171.0,12.38,90,100,1.9,overcast clouds
165,Cap Malheureux,MU,-19.9842,57.6142,79.47,87,100,4.7,overcast clouds
166,Benghazi,LY,32.1167,20.0667,57.63,67,0,11.77,clear sky
167,Moose Factory,CA,51.2585,-80.6094,15.8,79,90,10.36,light snow
168,Pevek,RU,69.7008,170.3133,-15.63,94,100,5.53,overcast clouds
169,Bengkulu,ID,-3.8004,102.2655,81.0,75,83,3.44,broken clouds
170,Tilichiki,RU,60.4667,166.1,-12.01,96,18,9.93,few clouds
171,Hamilton,US,39.1834,-84.5333,55.24,90,90,1.01,overcast clouds
172,Dire Dawa,ET,9.5931,41.8661,63.93,56,0,1.86,clear sky
173,Mahebourg,MU,-20.4081,57.7,79.25,88,40,3.44,scattered clouds
174,Ranau,MY,5.9538,116.6641,81.25,66,92,2.39,overcast clouds
175,Rapid Valley,US,44.0625,-103.1463,35.2,79,1,5.75,clear sky
176,Yuksekova,TR,37.5736,44.2872,5.63,68,1,4.29,clear sky
177,Miracema Do Tocantins,BR,-9.5618,-48.3967,72.61,96,100,3.11,light rain
178,Cortes,ES,41.9395,-1.4396,47.61,81,100,2.71,overcast clouds
179,Ostrovnoy,RU,68.0531,39.5131,17.83,90,100,16.78,light snow
180,Sligo,IE,54.2697,-8.4694,47.68,90,100,11.83,overcast clouds
181,Kortkeros,RU,61.8106,51.5806,8.6,89,100,12.82,overcast clouds
182,Providencia,MX,28.7167,-111.5833,71.85,54,60,4.18,broken clouds
183,Norman Wells,CA,65.282,-126.8329,-30.96,61,20,4.61,few clouds
184,Vangaindrano,MG,-23.35,47.6,74.01,92,89,7.56,overcast clouds
185,Oum Hadjer,TD,13.2954,19.6966,69.46,23,62,8.16,broken clouds
186,Angoche,MZ,-16.2325,39.9086,78.67,87,100,5.77,overcast clouds
187,Kaspiysk,RU,42.8816,47.6392,24.98,86,88,4.47,overcast clouds
188,Lahat,ID,-3.8,103.5333,78.75,86,67,2.19,broken clouds
189,Poum,NC,-20.2333,164.0167,81.73,76,83,11.03,broken clouds
190,Adrar,MR,20.5022,-10.0711,63.66,26,0,8.34,clear sky
191,Luderitz,NA,-26.6481,15.1594,60.48,86,0,6.06,clear sky
192,Esperance,AU,-33.8667,121.9,72.59,56,41,15.03,scattered clouds
193,Carbonia,IT,39.1672,8.5222,52.99,92,100,2.46,overcast clouds
194,Ilo,PE,-17.6394,-71.3375,69.48,89,77,3.15,broken clouds
195,Shubarshi,KZ,48.5872,57.1869,7.02,87,16,8.7,few clouds
196,San Juan,AR,-31.5375,-68.5364,85.68,23,96,7.43,overcast clouds
197,Helena,US,46.5927,-112.0361,19.33,74,40,3.0,scattered clouds
198,Mayumba,GA,-3.432,10.6554,76.19,92,81,3.31,broken clouds
199,Westport,US,41.1415,-73.3579,48.34,95,40,5.75,mist
200,Neuquen,AR,-38.9516,-68.0591,71.49,53,0,3.44,clear sky
201,Provideniya,RU,64.3833,-173.3,16.05,93,100,1.68,overcast clouds
202,Lamu,KE,-2.2717,40.902,79.57,82,100,7.0,light rain
203,Nyimba,ZM,-14.5566,30.8149,67.21,93,100,3.27,overcast clouds
204,Pitimbu,BR,-7.4706,-34.8086,79.39,82,100,8.14,overcast clouds
205,Buraydah,SA,26.326,43.975,50.45,58,67,11.01,broken clouds
206,Cabo San Lucas,MX,22.8909,-109.9124,75.51,69,1,4.61,clear sky
207,Yazykovo,RU,55.2199,56.1353,15.96,91,100,28.97,light snow
208,Dwarka,IN,22.2394,68.9678,70.92,81,56,6.78,broken clouds
209,Banda Aceh,ID,5.5577,95.3222,80.11,75,72,10.94,broken clouds
210,Guanambi,BR,-14.2233,-42.7814,67.55,93,96,4.14,overcast clouds
211,Anadyr,RU,64.75,177.4833,-1.7,84,75,11.18,broken clouds
212,Yerbogachen,RU,61.2767,108.0108,-22.72,94,100,0.89,overcast clouds
213,Guerrero Negro,MX,27.9769,-114.0611,60.48,70,90,11.3,overcast clouds
214,Mehamn,NO,71.0357,27.8492,27.23,90,100,16.2,light snow
215,Puerto Carreno,CO,6.189,-67.4859,83.52,57,10,10.98,clear sky
216,Dromolaxia,CY,34.8761,33.586,58.98,82,20,3.44,few clouds
217,Maarianhamina,AX,60.0973,19.9348,22.86,80,90,6.91,light snow
218,Kamenka,RU,51.3223,42.7678,20.75,96,100,3.2,overcast clouds
219,Broken Hill,AU,-31.95,141.4333,80.29,24,1,20.38,clear sky
220,Linjiang,CN,41.8069,126.9078,-3.78,72,29,2.37,scattered clouds
221,Pangnirtung,CA,66.1451,-65.7125,12.11,69,8,6.98,clear sky
222,Tazovskiy,RU,67.4667,78.7,-8.25,94,91,12.41,overcast clouds
